Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.1,2,4,2,3,0,1,5169
0.83,2,4,3,2,2,0,3470
0.85,2,4,2,0,0,1,3183
0.91,2,1,2,3,3,1,4370
0.83,2,3,2,0,0,1,3171
1.53,2,1,2,2,2,0,12791
1.0,4,0,2,3,1,1,5747
1.5,0,2,2,3,3,1,10450
2.11,2,4,2,3,3,1,18609
1.05,4,1,3,3,1,1,7666
0.91,2,0,4,3,3,1,6224
1.01,1,1,2,1,1,1,5161
0.92,1,5,4,3,3,1,3679
2.51,4,3,4,3,3,1,34361
1.5,4,2,2,3,3,1,11004
2.2,2,4,4,0,3,1,22241
1.52,2,0,3,0,0,1,17659
1.28,4,5,3,0,3,1,6726
1.01,1,5,2,3,3,1,4238
0.9,4,2,2,3,0,1,3624
2.6,2,3,4,0,0,1,37621
0.8,4,2,3,0,1,1,3559
1.07,4,3,2,1,1,1,4829
2.02,1,5,6,0,3,1,19756
2.16,2,2,5,2,2,0,44121
2.03,1,3,3,3,3,1,23726
2.02,4,5,2,1,1,1,14839
1.01,4,2,2,0,0,1,5010
2.41,4,4,4,0,0,1,27337
0.9,1,4,2,3,1,1,3485
0.92,2,3,2,1,3,1,4025
1.01,2,1,6,0,0,1,9735
2.04,4,0,5,3,3,1,41867
1.56,2,3,3,0,0,1,14957
0.77,3,2,2,0,0,1,3321
2.01,4,5,3,3,3,1,18023
2.05,4,4,4,3,3,1,19976
1.01,4,2,4,3,3,1,6257
1.01,4,1,2,0,0,1,5534
0.86,2,1,2,0,0,1,4228
1.01,1,3,2,3,1,1,4905
2.29,4,2,3,0,3,1,34657
1.28,2,3,6,2,2,0,10958
2.12,2,2,3,0,0,1,33667
0.9,2,1,2,3,3,1,4921
1.44,2,0,2,1,1,1,10768
2.28,2,0,1,3,0,1,73209
1.01,3,0,6,2,2,0,12996
2.29,2,3,4,3,3,1,27097
0.8,2,0,4,3,0,1,3817
1.06,3,3,6,2,2,0,9645
1.62,2,2,4,0,0,1,18281
0.83,2,1,2,0,0,1,4024
1.58,2,3,6,3,3,1,16625
0.91,4,2,2,0,3,1,4546
1.01,0,0,2,3,1,1,5628
1.13,2,3,5,0,0,1,9653
2.0,1,5,2,0,3,1,14321
0.83,4,4,4,3,3,1,3249
0.92,4,1,2,3,3,1,4286
1.25,2,3,6,3,3,1,11089
1.23,3,3,3,0,0,1,10859
1.51,1,1,2,0,0,1,12487
1.21,3,1,3,0,0,1,12111
1.02,4,0,2,1,3,1,6001
0.75,4,2,2,3,3,1,2734
0.78,4,5,3,3,3,1,2694
2.02,2,1,3,3,1,1,32060
0.9,1,1,2,3,1,1,4147
1.01,2,2,3,0,0,1,8860
1.02,2,3,4,0,0,1,6264
1.14,4,4,4,3,1,1,5640
1.5,4,3,2,3,3,1,10019
